id,name,symbol,quantity,percentageChange,change,price,previousClose,high,low,lastTradedTime,issueDate,turnover,sharevolume,tradevolume,marketCap,marketCapPercentage,open,closingPrice,crossingVolume,crossingTradeVol,status,Scrape_time,Date
204,ABANS ELECTRICALS PLC,ABAN.N0000,36,-0.3306878306878307,-1.25,376.75,378.0,377.0,374.25,1741769983562,01/JAN/1984,1083907.0,2876,36,1925403480.0,0.0,377.0,376.75,2876,36,0,2025-03-12 11:31:07.832755,2025-03-12
1845,ABANS FINANCE PLC,AFSL.N0000,100,2.0881670533642693,0.9,44.0,43.1,44.0,41.0,1741768983404,27/JUN/2011,209400.0,5100,10,3242499524.0,0.0,41.0,44.0,5100,10,3,2025-03-12 11:31:07.832755,2025-03-12
2065,ACCESS ENGINEERING PLC,AEL.N0000,791,4.473684210526316,1.7,39.7,38.0,39.9,37.7,1741769974071,27/MAR/2012,37751420.9,984900,265,39700000000.0,0.0,38.0,39.7,1984900,266,0,2025-03-12 11:31:07.832755,2025-03-12
472,ACL CABLES PLC,ACL.N0000,1000,1.2048192771084338,1.5,126.0,124.5,126.0,123.0,1741769961310,01/JAN/1976,44588052.25,354289,67,30186414720.0,0.0,123.5,126.0,354289,67,0,2025-03-12 11:31:07.832755,2025-03-12
406,ACL PLASTICS PLC,APLA.N0000,16,0.04033884630899556,0.25,620.0,619.75,625.0,611.0,1741768811288,05/APR/1995,2843673.0,4593,55,2611750000.0,0.0,620.0,620.0,4593,55,0,2025-03-12 11:31:07.832755,2025-03-12
554,ACME PRINTING & PACKAGING PLC,ACME.N0000,20,-2.380952380952381,-0.1,4.1,4.2,4.4,4.1,1741755116780,01/JAN/1956,20596.8,5022,3,389500000.0,0.0,4.1,4.1,5022,3,1,2025-03-12 11:31:07.832755,2025-03-12
163,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,95,-1.1135857461024499,-0.5,44.4,44.9,44.5,43.5,1741769998883,22/JAN/1996,704529.9,15929,51,6937500000.0,0.0,44.5,44.4,15929,51,0,2025-03-12 11:31:07.832755,2025-03-12
2026,AGSTAR PLC,AGST.N0000,406,4.0,0.3,7.8,7.5,7.8,7.5,1741769997973,16/FEB/2012,722813.6,92862,27,3598057827.0,0.0,7.5,7.8,92862,27,2,2025-03-12 11:31:07.832755,2025-03-12
144,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,5,1.6518424396442186,1.3,80.0,78.7,80.5,78.5,1741769591217,01/JAN/1980,2883165.5,36470,40,26903200800.0,0.0,78.5,80.0,36470,40,0,2025-03-12 11:31:07.832755,2025-03-12
343,AITKEN SPENCE PLC,SPEN.N0000,464,1.5686274509803921,2.0,129.5,127.5,130.5,127.0,1741769360291,01/JAN/1983,7445563.5,58341,23,52576487827.5,0.0,127.0,129.5,58341,23,0,2025-03-12 11:31:07.832755,2025-03-12
395,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,17,2.3054755043227666,4.0,177.5,173.5,179.75,174.0,1741769914421,01/JAN/1959,856841.75,4827,29,5981040000.0,0.0,179.75,177.5,4827,29,0,2025-03-12 11:31:07.832755,2025-03-12
5511,ALPHA FIRE SERVICES PLC,AFS.N0000,100,1.1627906976744187,0.1,8.7,8.6,8.7,8.6,1741769113309,,7074.2,816,11,330165000.0,0.0,8.6,8.7,816,11,5,2025-03-12 11:31:07.832755,2025-03-12
3082,ALUMEX PLC,ALUM.N0000,3000,3.4722222222222223,0.5,14.9,14.4,15.0,14.4,1741769983444,31/MAR/2014,13243886.0,904755,134,8919224632.0,0.0,14.5,14.9,904755,134,2,2025-03-12 11:31:07.832755,2025-03-12
3046,AMANA BANK PLC,ABL.N0000,34,3.404255319148936,0.8,24.3,23.5,24.5,23.5,1741765024402,29/JAN/2014,48216.5,1985,12,13392355627.8,0.0,23.5,24.3,1985,12,0,2025-03-12 11:31:07.832755,2025-03-12
364,AMANA TAKAFUL PLC,ATL.N0000,230,0.0,0.0,13.0,13.0,13.0,12.7,1741765548677,27/NOV/2006,3015.7,232,3,2647198359.0,0.0,12.7,13.0,232,3,2,2025-03-12 11:31:07.832755,2025-03-12
3575,AMANA TAKAFUL LIFE PLC,ATLL.N0000,901,0.3831417624521073,0.1,26.2,26.1,26.2,26.2,1741752137974,18/AUG/2016,26200.0,1000,2,1310000000.0,0.0,26.2,26.2,1000,2,2,2025-03-12 11:31:07.832755,2025-03-12
2145,AMBEON CAPITAL PLC,TAP.N0000,50,3.474903474903475,0.9,26.8,25.9,26.9,25.8,1741769774416,17/MAY/2012,15298423.3,586169,81,26873025042.0,0.0,26.0,26.8,586169,81,2,2025-03-12 11:31:07.832755,2025-03-12
121,AMBEON HOLDINGS PLC,GREG.N0000,250,3.8615179760319576,2.9,78.0,75.1,79.0,74.5,1741769957186,01/JAN/1970,12583652.6,166271,64,27835833948.0,0.0,75.0,78.0,166271,64,2,2025-03-12 11:31:07.832755,2025-03-12
