Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%),Date
ABANS ELECTRICALS PLC,ABAN.N0000,523,9,376.0,375.0,375.0,375.0,375.0,-1.0,-0.27,2025-04-18
ABANS FINANCE PLC,AFSL.N0000,130,6,45.2,42.6,45.5,42.6,45.4,0.2,0.44,2025-04-18
ACCESS ENGINEERING PLC,AEL.N0000,57207,72,38.0,38.5,38.9,38.4,38.8,0.8,2.11,2025-04-18
ACL CABLES PLC,ACL.N0000,16765,35,121.25,123.0,123.0,121.5,122.5,1.25,1.03,2025-04-18
ACL PLASTICS PLC,APLA.N0000,721,17,624.25,625.0,625.0,615.0,625.0,0.75,0.12,2025-04-18
ACME PRINTING & PACKAGING PLC,ACME.N0000,4873,8,4.4,4.3,4.3,4.2,4.2,-0.2,-4.55,2025-04-18
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,24492,13,42.7,42.5,43.0,42.5,43.0,0.3,0.7,2025-04-18
Agarapatana Plantations PLC,AGPL.N0000,205469,87,13.3,13.4,13.6,13.3,13.4,0.1,0.75,2025-04-18
AGSTAR PLC,AGST.N0000,99521,51,7.3,7.5,7.5,7.2,7.2,-0.1,-1.37,2025-04-18
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,3171,26,77.2,78.4,79.4,78.4,79.0,1.8,2.33,2025-04-18
AITKEN SPENCE PLC,SPEN.N0000,85392,46,125.0,126.5,126.5,123.25,125.0,0.0,0.0,2025-04-18
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,10111,45,186.5,187.75,188.0,185.5,186.5,0.0,0.0,2025-04-18
ALUMEX PLC,ALUM.N0000,2536356,206,15.2,15.2,15.6,15.2,15.5,0.3,1.97,2025-04-18
AMANA BANK PLC,ABL.N0000,18261,71,23.0,23.0,23.0,22.4,22.5,-0.5,-2.17,2025-04-18
AMBEON CAPITAL PLC,TAP.N0000,27225,19,26.8,26.8,27.0,26.6,27.0,0.2,0.75,2025-04-18
AMBEON HOLDINGS PLC,GREG.N0000,35439,32,79.6,79.0,81.0,76.2,80.0,0.4,0.5,2025-04-18
ARPICO INSURANCE PLC,AINS.N0000,100,4,26.0,24.3,24.3,24.2,24.3,-1.7,-6.54,2025-04-18
ASIA ASSET FINANCE PLC,AAF.N0000,9011,20,28.8,28.5,29.3,28.5,29.1,0.3,1.04,2025-04-18
ASIA CAPITAL PLC,ACAP.N0000,1120,5,3.9,3.9,3.9,3.9,3.9,0.0,0.0,2025-04-18
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,59823,14,6.0,6.0,6.1,6.0,6.0,0.0,0.0,2025-04-18
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,1788,20,52.1,53.8,54.0,52.5,54.0,1.9,3.65,2025-04-18
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,5390,15,26.0,26.0,26.0,25.6,26.0,0.0,0.0,2025-04-18
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,12805,13,11.2,11.3,11.4,11.2,11.3,0.1,0.89,2025-04-18
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,2633,13,34.0,32.5,34.5,32.5,34.0,0.0,0.0,2025-04-18
B P P L HOLDINGS PLC,BPPL.N0000,751,27,18.5,18.7,18.7,18.7,18.7,0.2,1.08,2025-04-18
BAIRAHA FARMS PLC,BFL.N0000,13352,24,165.0,165.0,165.5,162.75,163.25,-1.75,-1.06,2025-04-18
BALANGODA PLANTATIONS PLC,BALA.N0000,4130,24,68.8,67.9,67.9,66.1,67.0,-1.8,-2.62,2025-04-18
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,2345,3,17.5,18.0,18.0,18.0,18.0,0.5,2.86,2025-04-18
BERUWALA RESORTS PLC,BERU.N0000,1288671,40,3.7,3.7,3.9,3.7,3.8,0.1,2.7,2025-04-18
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,323,5,53.5,53.0,54.5,53.0,53.6,0.1,0.19,2025-04-18
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,1350,5,55.2,53.2,55.0,53.0,53.0,-2.2,-3.99,2025-04-18
BROWN & COMPANY PLC,BRWN.N0000,49321,79,175.5,175.5,178.75,173.25,174.25,-1.25,-0.71,2025-04-18
BROWNS BEACH HOTELS PLC,BBH.N0000,3351,5,17.2,17.2,17.2,17.2,17.2,0.0,0.0,2025-04-18
BROWNS INVESTMENTS PLC,BIL.N0000,2565506,156,7.3,7.3,7.4,7.2,7.3,0.0,0.0,2025-04-18
BUKIT DARAH PLC,BUKI.N0000,5,1,705.0,681.25,681.25,681.25,705.0,0.0,0.0,2025-04-18
C I C HOLDINGS PLC,CIC.X0000,284647,155,80.8,81.0,81.9,79.9,80.0,-0.8,-0.99,2025-04-18
C I C HOLDINGS PLC,CIC.N0000,55137,62,115.5,117.0,117.0,114.25,115.0,-0.5,-0.43,2025-04-18
C M HOLDINGS PLC,COLO.N0000,2000,16,160.0,160.0,160.0,150.0,152.0,-8.0,-5.0,2025-04-18
C T LAND DEVELOPMENT PLC,CTLD.N0000,4065,11,24.9,25.0,25.0,24.9,24.9,0.0,0.0,2025-04-18
C. W. MACKIE PLC,CWM.N0000,4706,16,105.0,108.0,109.75,107.25,109.25,4.25,4.05,2025-04-18
CABLE SOLUTIONS PLC,CSLK.N0000,98873,25,10.9,11.1,11.1,10.9,10.9,0.0,0.0,2025-04-18
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,10,1,14.0,13.9,13.9,13.9,14.0,0.0,0.0,2025-04-18
CAPITAL ALLIANCE PLC,CALT.N0000,36429,92,55.0,55.0,55.0,54.5,54.9,-0.1,-0.18,2025-04-18
CARGILLS (CEYLON) PLC,CARG.N0000,3809,43,435.25,439.75,462.5,435.0,457.5,22.25,5.11,2025-04-18
CARGILLS BANK PLC,CBNK.N0000,55432,36,8.2,8.2,8.2,8.0,8.1,-0.1,-1.22,2025-04-18
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,4296,18,80.0,78.0,81.0,76.2,80.2,0.2,0.25,2025-04-18
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,83679,88,194.0,195.0,197.0,193.0,194.0,0.0,0.0,2025-04-18
CENTRAL INDUSTRIES PLC,CIND.N0000,4017,14,146.75,143.25,147.5,143.25,145.75,-1.0,-0.68,2025-04-18
CEYLINCO HOLDINGS PLC,CINS.X0000,1513,38,1280.0,1287.0,1287.0,1280.0,1280.0,0.0,0.0,2025-04-18
CEYLINCO HOLDINGS PLC,CINS.N0000,27,11,2926.0,3099.25,3099.75,3098.75,2926.0,0.0,0.0,2025-04-18
CEYLON COLD STORES PLC,CCS.N0000,411078,269,84.5,85.0,87.5,85.0,85.7,1.2,1.42,2025-04-18
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,652,9,186.5,188.0,188.0,187.5,187.5,1.0,0.54,2025-04-18
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,504,7,150.75,151.0,156.25,150.0,150.75,0.0,0.0,2025-04-18
CEYLON HOSPITALS PLC,CHL.X0000,15,2,95.1,103.0,103.0,103.0,95.1,0.0,0.0,2025-04-18
CEYLON HOSPITALS PLC,CHL.N0000,915,6,123.0,126.75,127.5,126.75,127.5,4.5,3.66,2025-04-18
